time	Id(amp:M1)	Id(amp:M2)
Step Information: Temp=-50  (Run: 1/9)
5.625368917432078e-004	-1.013110e-004	6.271373e-002
5.632372011997333e-004	-1.013071e-004	6.379725e-002
5.639398951005614e-004	-1.019553e-004	6.431509e-002
5.646288546751193e-004	-1.017530e-004	6.449518e-002
5.654020697901914e-004	-1.011868e-004	6.538758e-002
5.661714342051640e-004	-1.016206e-004	6.634898e-002
5.668809297584332e-004	-1.019357e-004	6.656390e-002
5.675233561848399e-004	-1.013836e-004	6.693530e-002
5.682179057557922e-004	-1.011684e-004	6.799738e-002
5.688424538284153e-004	-1.017569e-004	6.860837e-002
5.694870762373365e-004	-1.018302e-004	6.867942e-002
5.701120263196840e-004	-1.012032e-004	6.918475e-002
5.707564421572483e-004	-1.012060e-004	7.019544e-002
5.713835487891370e-004	-1.018035e-004	7.067817e-002
5.720249758401209e-004	-1.016949e-004	7.077939e-002
5.726919993251899e-004	-1.011109e-004	7.145732e-002
5.733672218500463e-004	-1.013134e-004	7.239687e-002
5.741025467323967e-004	-1.018029e-004	7.276275e-002
5.747593684131188e-004	-1.014357e-004	7.303061e-002
5.754546411640692e-004	-1.010373e-004	7.397164e-002
5.760295518466368e-004	-1.014557e-004	7.466078e-002
5.766761048055861e-004	-1.017901e-004	7.478599e-002
5.772312820855334e-004	-1.013263e-004	7.504269e-002
5.778433516481316e-004	-1.009879e-004	7.595745e-002
5.783744317287765e-004	-1.014307e-004	7.660624e-002
5.789632915161728e-004	-1.017846e-004	7.669859e-002
5.794863516345845e-004	-1.013607e-004	7.688348e-002
5.800741907837410e-004	-1.009478e-004	7.771870e-002
5.806015310198487e-004	-1.013156e-004	7.841630e-002
5.811956054680632e-004	-1.017413e-004	7.857878e-002
5.817291492382032e-004	-1.013990e-004	7.873124e-002
5.823396057960314e-004	-1.009447e-004	7.952131e-002
5.828853443433922e-004	-1.012498e-004	8.024130e-002
5.835094505833885e-004	-1.016775e-004	8.045813e-002
5.840637545656176e-004	-1.013639e-004	8.063665e-002
5.847009765331415e-004	-1.009423e-004	8.143772e-002
5.852645970163406e-004	-1.012498e-004	8.213735e-002
5.859064676371657e-004	-1.016177e-004	8.234854e-002
5.864743718189247e-004	-1.012793e-004	8.257531e-002
5.871175932773296e-004	-1.009355e-004	8.340136e-002
5.876915996255514e-004	-1.012774e-004	8.405692e-002
5.883327007749976e-004	-1.015567e-004	8.423658e-002
5.889104915653725e-004	-1.011818e-004	8.451995e-002
5.895502939035281e-004	-1.009348e-004	8.536017e-002
5.901372590526935e-004	-1.013105e-004	8.596178e-002
5.907775181982389e-004	-1.014835e-004	8.611991e-002
5.913740859578207e-004	-1.010789e-004	8.648347e-002
5.920179673039131e-004	-1.009535e-004	8.732890e-002
5.926353196766315e-004	-1.013509e-004	8.786183e-002
5.932895357908594e-004	-1.013770e-004	8.803396e-002
5.939392220560267e-004	-1.009667e-004	8.854979e-002
5.946151213545133e-004	-1.010205e-004	8.936954e-002
5.953486664810149e-004	-1.013715e-004	8.982445e-002
5.960886460946013e-004	-1.011630e-004	9.016443e-002
5.968729338069737e-004	-1.009118e-004	9.100071e-002
5.975515260124995e-004	-1.011962e-004	9.162594e-002
5.983084644423082e-004	-1.012793e-004	9.190165e-002
5.990009694811386e-004	-1.009325e-004	9.242386e-002
5.997288971389470e-004	-1.009809e-004	9.323920e-002
6.005141811990493e-004	-1.012768e-004	9.371206e-002
6.013041598108653e-004	-1.010495e-004	9.412219e-002
6.021120286829865e-004	-1.008856e-004	9.496251e-002
6.028303061235128e-004	-1.011692e-004	9.554204e-002
6.036105959122781e-004	-1.011485e-004	9.585606e-002
6.043888098674175e-004	-1.008489e-004	9.651099e-002
6.051814351929401e-004	-1.010019e-004	9.727630e-002
6.060670096569138e-004	-1.011580e-004	9.770706e-002
6.068324027988921e-004	-1.008876e-004	9.822447e-002
6.076574455262803e-004	-1.009004e-004	9.905391e-002
6.084989922510021e-004	-1.011373e-004	9.956241e-002
6.093501914263684e-004	-1.009337e-004	1.000317e-001
6.102431881246996e-004	-1.008349e-004	1.008819e-001
6.110491412449344e-004	-1.010747e-004	1.014413e-001
6.118993035046769e-004	-1.009932e-004	1.018632e-001
6.129699267880510e-004	-1.008068e-004	1.027788e-001
6.138701913499390e-004	-1.010014e-004	1.034281e-001
6.148022104477544e-004	-1.009383e-004	1.039015e-001
6.158020847760779e-004	-1.007605e-004	1.047132e-001
6.168011116269019e-004	-1.009608e-004	1.054442e-001
6.177247394402648e-004	-1.009060e-004	1.059164e-001
6.187102254571952e-004	-1.007206e-004	1.066953e-001
6.197003754862361e-004	-1.009088e-004	1.074228e-001
6.206394769451872e-004	-1.008700e-004	1.078930e-001
6.216137755269592e-004	-1.006820e-004	1.086392e-001
6.225986184987834e-004	-1.008532e-004	1.093645e-001
6.235714363624838e-004	-1.008302e-004	1.098467e-001
6.245487758764247e-004	-1.006462e-004	1.105709e-001
6.255416194526617e-004	-1.008004e-004	1.112952e-001
6.265580917079799e-004	-1.007857e-004	1.117996e-001
6.275622413878215e-004	-1.006130e-004	1.125228e-001
